,hip_name,sy_pnum,st_spectype
0,60202,1,G8 III
1,74793,1,K4 III
2,116076,1,K0 III
3,79248,2,K0 V
4,96901,1,G2.5 V
5,79540,1,K3 III
6,103527,1,G6 III
7,70791,1,G3 IV
8,12184,1,F6 V
9,42527,1,K1 III
10,90344,1,K1.5 III
11,53721,3,G0 V
12,21547,1,F0 IV
13,43587,5,G8 V
14,31039,1,K0 IV
15,64924,3,G5 V
16,31592,2,K1 III
17,11791,2,G3 III
18,73136,1,K0
19,12247,1,G5 III
20,114855,1,K0 III
21,30034,1,K2 V
22,25486,1,F8 V
23,102409,3,M1
24,104780,1,K2 V
25,78407,1,K0
26,88617,1,K0
27,114458,1,G0
28,27803,2,K7/M0 V
29,49067,2,K3 V
30,90979,2,K7 V
31,2247,1,K5 V
32,10337,2,K7 V
33,27305,4,F8 V
34,8501,1,F5 V
35,28941,1,K0 V
36,96258,1,F5-F8 V
37,116748 A,1,G6 V
38,16069,2,K4.5
39,1475,2,M1
40,19165,1,M0 V
41,22627,1,M2 V
42,22762,3,M2 V
43,29295,2,M1/M2 V
44,33226,1,M3.0 V
45,3143,1,M0.5 V
46,36208,2,M3.5
47,1292,1,G6 V
48,6365,1,M2 V
49,10037,3,M0
50,43790,2,M1
51,120005,1,M0.0 V
52,47103,3,M2.5 V
53,47780,3,M1.0 V
54,51317,1,M2.0 V
55,79126,1,M0
56,84460,2,M1
57,54035,2,M1.9
58,54646,2,K7 V
59,55042,1,M3.5 V
60,56528,3,M1.5 V
61,57087,1,M2.5 V
62,60398,1,M3 V
63,61706,1,M3.5 Ve
64,62452,1,M3.5 V
65,64792,1,G0 V
66,65859,1,M0.5-1.0 V
67,68469,1,M1 V
68,74995,3,M3 V
69,80459,1,M2
70,83043,1,M1.5
71,85523,1,M2.5
72,85647,4,M0 V
73,86214,2,M3.5 V
74,86087,1,M0.5
75,86162,2,M3 V
76,91128,1,M0.5 V
77,91608,1,M1.0 V
78,93101,1,M1.0 V
79,102401,2,M1.5 V
80,106440,1,M1.5
81,109388,2,M3.5
82,113020,4,M4 V
83,114046,2,M1 V
84,116132 A,1,M3.5 V
85,11048,1,M2
86,99699,1,M0.5
87,115752,3,K5 V
88,49189,1,M1
89,4872,1,M1.5 V
90,86287,1,M1.0 V
91,97657,2,K4
92,80076,2,F8
93,56379,1,B9 Vne
94,56508,1,G9 III
95,56572,1,G8 V
96,7599,6,G1 V
97,57172,1,K1 V
98,57291,1,G6 V
99,57370,1,K0 V
100,57428,1,K0
101,57735,1,K0 V
102,58237,1,K3 V
103,58263,1,F5 V
104,58331,1,F8 V
105,58374,1,K3 V
106,58451,1,K2 V
107,58952,1,G9 III
108,59610,1,G0
109,59625,1,G5 IV
110,7978,1,F9 V
111,59743 A,1,G5
112,59960,1,F5 V
113,8159,1,G3 V
114,60648,1,K4/5 V
115,60689,5,G3 V
116,60788,1,K2 V
117,61028,2,G5
118,61177,1,G0 V
119,61300,2,G5 V
120,61298,1,G4 V
121,61595 A,1,G3 V
122,61740,1,K2 III
123,62662,1,F8 V
124,61820,2,G
125,62534,2,G5 V
126,62875,1,F6 V
127,63090,1,M1 III
128,63211,1,K0 III
129,63203,1,K0 III
130,63584,2,F6 V
131,63833,2,K9 V
132,64184,1,F3 V
133,64408,1,G4 IV
134,64459,1,G0 V
135,64457,2,K0
136,8770,3,G0 V
137,65042,1,G5 V
138,65808,1,G8 IV/V
139,9242,1,G5
140,66047,1,G2 V
141,66192,1,K0
142,66903,1,G7 III
143,9519,1,F8
144,69888,1,G7 V
145,70170,1,K4 V
146,70123,3,G3 V
147,10800,1,G5
148,71395,2,K0
149,71481,1,K3 V
150,72203,1,G6 V
151,72339,1,K0 V
152,73146,1,G0 V
153,73674 A,3,G2 V
154,73674 B,3,G2 V
155,74273,2,G3 IV
156,74500,2,G5 V
157,74856,1,G3 IV/V
158,74948,1,F7 V
159,75181,3,G4 V
160,10301,2,K2 V
161,10743,2,F8 V
162,10626,1,G0
163,76311,1,K4 III
164,10657,1,G9 III
165,77358,2,G7 IV
166,77301,4,K0
167,77740,1,G2/G3 V
168,522,3,G1 IV
169,79242,1,G9 IV-V
170,77838,1,F5
171,78521,1,G0 V
172,1499,2,G0 V
173,80250,2,G9 V
174,79755,1,M0.0 V
175,80486,2,G1 V
176,80484,2,F8
177,80838,1,G0 IV
178,81022,1,G0
179,80902,1,G0 V
180,82632,1,G6 V
181,11433,2,K1 V
182,83541,1,K0 IV-V
183,83389,1,G9
184,83289,1,K1 III
185,83983,1,G3 IV
186,84069,2,G5 V
187,83949,2,G0
188,84171,2,G6
189,84787,1,F8 IV/V
190,84856,1,G0 V
191,85268,5,G0
192,84769,1,K5 III
193,85911,2,G0 V
194,86375,2,G5 V
195,1640,2,K1 IV
196,86796,4,G3 IV-V
197,12191,1,G2
198,87330,1,K3 V
199,87601,2,G5
200,12186,1,G1 V
201,88268,1,G5 V
202,88194,1,G2 V
203,88414,1,K3.5 V
204,88348,4,G9 V
205,88595,1,G3/5 V
206,88650,1,G8 V
207,1666,1,F7 V
208,89354,1,K0 IV/V
209,89047,1,K1 IV
210,89583,1,G5 V
211,89844,2,G5
212,90004,1,G5
213,1692,1,K1 III
214,12436,1,K3 V
215,90485,2,F8 V
216,90593,1,G5 IV
217,91085,1,K0 V
218,13192,1,G5
219,91852,1,G8
220,93281,1,G5 IV/V
221,92895,1,G8 IV
222,93373,1,G6 V
223,13291,1,G0 V
224,93540,2,K2.5 V
225,94075,1,G5
226,94256,1,G5 IV
227,94645,1,F8 V
228,13467,1,G6 IV
229,94761,1,M2.5 V
230,95015,1,G8 IV
231,95124,1,K0 III
232,95467,3,K3 IV
233,95262,1,G1 V
234,95740,2,G2 IV
235,96160,1,G2 V
236,14417,1,M2.5 III
237,96507,1,G0 IV
238,96861,1,K3 V
239,13754,1,K2 V
240,97546,1,G0 V
241,97336,2,G3 V
242,97769,1,G5 IV
243,98959,2,G3 V
244,98505,1,K0-2 V
245,98698,1,K4 V
246,98714,1,G5 IV
247,98767,2,G6 IV
248,99496,1,F8 V
249,99306,1,K0
250,99175,6,G9 V
251,99711,1,K0 V
252,99894,1,G8 IV
253,100970,1,G3 V/IV
254,101806,1,G3 V
255,102125,1,G1 V
256,101966,1,F8 V
257,101948,1,F7 V
258,14954,1,F8 V
259,14530,2,G8 V
260,104903,1,G6 V
261,105056,2,K0 III-IV
262,105232,1,G8 V
263,1931,1,G2/G3 IV/V
264,106006,3,G5 V
265,107160,1,G5 IV/V
266,108162 A,1,K2.5 V
267,15526,5,K0 V
268,107985,2,G5 V
269,107038,1,K0 V
270,15510,4,G8
271,108375,1,G2 V
272,108296,1,M1 III
273,15578,1,K3/4 IV
274,108513,1,K0
275,108859,1,G0 V
276,109381,1,G3 V
277,109378,1,G0 V
278,109577,1,K1 IV
279,109876,1,F7 V
280,110094,1,G5
281,110443,1,K7 V
282,111143,1,G0/1 V
283,111553,2,G
284,16012,1,G8 V
285,111928,1,G0 V
286,112190,4,K3 V
287,112441,2,K3 V
288,113137,1,G1 V
289,16085,2,G8 V
290,113421,2,G8 IV
291,113834,2,F8 V
292,114699,1,G8 V
293,114622,6,K3 V
294,115100,2,G0 IV
295,115218,1,M2 III
296,115662,1,G3 V
297,115697,1,F9
298,115714,1,F8
299,116250,1,G2 V
300,116221,1,G8 IV
301,116630,1,K0 III
302,116616,1,G2 V
303,118228,1,F8/G0 IV/V
304,118319,1,G2 V
305,17187,1,K1
306,17054,1,G2 V
307,96078,1,F8 V
308,17264,5,K4 V
309,98668,1,K2 V
310,17747,1,F8 V
311,59514,1,M0.0 V
312,114840,1,K2 III
313,18451,1,K0
314,17515,1,G0 V
315,18527,1,K1 V
316,18387,1,F8 V
317,19011,1,K1 III
318,31635,2,M0 V
319,2350,1,K1 V
320,19849,1,K0 V
321,20199,1,G3 IV/V
322,20277,3,K2 V
323,20753,1,G0 V
324,20723,2,G0 V
325,20606,1,G1 IV/V
326,19207,1,K4.5 V
327,21932,1,M2 V
328,21571,1,G5
